Sample ID,Accession,Domain,Phylum,Class,Order,Family,Genus,Species,E value,Max score,Total score,Query from,Query to,Hit from,Hit to,Identity,Positive,Similarity[%],Coverage[%],Query length
Ap-01-01,LOGZ01000122.9.1564,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,872.739,472,17,493,46,524,477,477,100,50.1,952
Ap-01-02,AP014855.3941883.3943424,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia albertii,0,869.046,470,15,492,45,525,478,478,100,48.8,980
Ap-01-03,KC202264.1.1448,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,856.119,463,19,505,15,501,480,480,98.6,51.5,946
Ap-01-04,KF917140.1.1490,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia sp. BAB-3409,0,832.113,450,8,495,20,504,479,479,98.2,34.1,1430
Ap-01-06,KT260804.1.1445,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,880.126,476,13,504,1,490,487,487,99,45.2,1089
Ap-01-07,AP014855.3941883.3943424,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia albertii,0,867.199,469,20,494,51,525,474,474,99.8,37.7,1260
Ap-02-01,JN560901.1.1443,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus durans,0,876.432,474,15,517,3,501,496,496,98.6,28.1,1789
Ap-02-02,KM047496.1.1466,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,0,837.653,453,20,485,27,490,462,462,99.1,28.9,1613
Ap-02-03,KM885169.1.1404,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Micrococcaceae bacterium HW-2,0,833.959,451,16,470,10,463,454,454,99.8,26.8,1695
Ap-02-04,KC920584.1.1487,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Shigella sp. 09-A2,0,867.199,469,15,509,13,504,487,487,98.4,29.9,1655
Ap-02-05,LOGZ01000122.9.1564,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,874.586,473,21,509,50,536,484,484,99,37.6,1300
Ap-02-06,LOGZ01000122.9.1564,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,876.432,474,15,507,46,536,488,488,99,32.1,1537
Ap-02-07,LOGZ01000122.9.1564,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,857.966,464,18,510,48,536,485,485,98.4,38,1297
Ap-02-08,LOGZ01000122.9.1564,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,863.506,467,15,499,48,532,481,481,99.2,29.3,1654
Ap-02-09,KP789326.1.1444,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,883.819,478,12,502,9,497,487,487,99.2,46.8,1050
Ap-02-10,HQ739369.1.1453,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,0,837.653,453,24,494,39,509,465,465,98.7,50.1,941
Ap-02-11,GQ068694.1.1346,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,uncultured bacterium,0,643.754,348,25,475,27,481,421,421,93.3,87.6,515
Ap-02-12,KP789333.1.1439,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,883.819,478,13,494,8,488,481,481,99.8,51.2,942
Ap-02-13,KP789326.1.1444,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,878.279,475,11,492,9,488,480,480,99.6,36.6,1317
Ap-02-14,HQ739374.1.1452,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,0,817.339,442,34,493,25,484,454,454,98.7,46.3,993
Ap-02-15,KT719653.1.1453,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus provencensis,0,893.052,483,17,499,1,483,483,483,100,43.3,1116
Ap-02-16,KP789333.1.1439,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,894.899,484,14,508,8,499,492,492,99.4,48.9,1013
Ap-02-17,LOGZ01000122.9.1564,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,876.432,474,15,500,48,533,484,484,99.6,26.4,1843
Ap-03-02,JQ215733.1.1343,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Ornithobacterium,uncultured bacterium,0,645.601,349,17,491,21,496,437,437,92,50.4,943
